y,ds,unique_id
46946,2000-01-31,1
48973,2000-02-29,1
59430,2000-03-31,1
56413,2000-04-30,1
58663,2000-05-31,1
61633,2000-06-30,1
63177,2000-07-31,1
61901,2000-08-31,1
52445,2000-09-30,1
56750,2000-10-31,1
55160,2000-11-30,1
52760,2000-12-31,1
49990,2001-01-31,1
48523,2001-02-28,1
59647,2001-03-31,1
57027,2001-04-30,1
57298,2001-05-31,1
60298,2001-06-30,1
63147,2001-07-31,1
63635,2001-08-31,1
34801,2001-09-30,1
44219,2001-10-31,1
44884,2001-11-30,1
45797,2001-12-31,1
43622,2002-01-31,1
43391,2002-02-28,1
54556,2002-03-31,1
50796,2002-04-30,1
52677,2002-05-31,1
55429,2002-06-30,1
57901,2002-07-31,1
57961,2002-08-31,1
45498,2002-09-30,1
53674,2002-10-31,1
50348,2002-11-30,1
55753,2002-12-31,1
49034,2003-01-31,1
46557,2003-02-28,1
56282,2003-03-31,1
52380,2003-04-30,1
54559,2003-05-31,1
58586,2003-06-30,1
63071,2003-07-31,1
61329,2003-08-31,1
49936,2003-09-30,1
55852,2003-10-31,1
52938,2003-11-30,1
56202,2003-12-31,1
50323,2004-01-31,1
51528,2004-02-29,1
61421,2004-03-31,1
60163,2004-04-30,1
59838,2004-05-31,1
64530,2004-06-30,1
68179,2004-07-31,1
65581,2004-08-31,1
53998,2004-09-30,1
60779,2004-10-31,1
58020,2004-11-30,1
59654,2004-12-31,1
55230,2005-01-31,1
53658,2005-02-28,1
67107,2005-03-31,1
62336,2005-04-30,1
64844,2005-05-31,1
67921,2005-06-30,1
71472,2005-07-31,1
67562,2005-08-31,1
57387,2005-09-30,1
60441,2005-10-31,1
59194,2005-11-30,1
60019,2005-12-31,1
56149,2006-01-31,1
53870,2006-02-28,1
66523,2006-03-31,1
63694,2006-04-30,1
64885,2006-05-31,1
67723,2006-06-30,1
70066,2006-07-31,1
66985,2006-08-31,1
56909,2006-09-30,1
62089,2006-10-31,1
60742,2006-11-30,1
61156,2006-12-31,1
57653,2007-01-31,1
54506,2007-02-28,1
67766,2007-03-31,1
65384,2007-04-30,1
67236,2007-05-31,1
70235,2007-06-30,1
73056,2007-07-31,1
71963,2007-08-31,1
59760,2007-09-30,1
64684,2007-10-31,1
62405,2007-11-30,1
61341,2007-12-31,1
58280,2008-01-31,1
57519,2008-02-29,1
68271,2008-03-31,1
63668,2008-04-30,1
66537,2008-05-31,1
68445,2008-06-30,1
70998,2008-07-31,1
68337,2008-08-31,1
54703,2008-09-30,1
60198,2008-10-31,1
54492,2008-11-30,1
57794,2008-12-31,1
52257,2009-01-31,1
50217,2009-02-28,1
61403,2009-03-31,1
59966,2009-04-30,1
60167,2009-05-31,1
64005,2009-06-30,1
68604,2009-07-31,1
65549,2009-08-31,1
55168,2009-09-30,1
59312,2009-10-31,1
55285,2009-11-30,1
57357,2009-12-31,1
53043,2010-01-31,1
49091,2010-02-28,1
62735,2010-03-31,1
60145,2010-04-30,1
61941,2010-05-31,1
65515,2010-06-30,1
69078,2010-07-31,1
66814,2010-08-31,1
